layer_name,conv_type,kernel_size,in_channels,out_channels,groups,bias,folded_bn,folded_from_bn,matched_lif_layer,threshold_shape,spike_rate
model.model.conv_stem,standard,"(3, 3)",3,32,1,False,False,,model.model.bn1.act,"(1, 32, 1, 1)",0.1394590458902372
model.model.blocks.0.0.conv,standard,"(3, 3)",32,32,1,False,False,,model.model.blocks.0.0.bn1.act,"(1, 32, 1, 1)",0.13739635960585406
model.model.blocks.0.1.conv,pointwise,"(1, 1)",32,32,1,False,False,,model.model.blocks.0.1.bn1.act,"(1, 32, 1, 1)",0.11916544907758025
model.model.blocks.1.0.conv,standard,"(3, 3)",32,96,1,False,False,,model.model.blocks.1.0.bn1.act,"(1, 96, 1, 1)",0.1261607492321473
model.model.blocks.1.1.conv,pointwise,"(1, 1)",96,64,1,False,False,,model.model.blocks.1.1.bn1.act,"(1, 64, 1, 1)",0.231535208306345
model.model.blocks.2.0.dw_start.conv,depthwise,"(5, 5)",64,64,64,False,False,,,,
model.model.blocks.2.0.pw_exp.conv,pointwise,"(1, 1)",64,192,1,False,False,,model.model.blocks.2.0.pw_exp.bn.act,"(1, 192, 1, 1)",0.09923205472985093
model.model.blocks.2.0.dw_mid.conv,depthwise,"(5, 5)",192,192,192,False,False,,model.model.blocks.2.0.dw_mid.bn.act,"(1, 192, 1, 1)",0.22577270023406498
model.model.blocks.2.0.pw_proj.conv,pointwise,"(1, 1)",192,96,1,False,False,,,,
model.model.blocks.2.1.pw_exp.conv,pointwise,"(1, 1)",96,192,1,False,False,,model.model.blocks.2.1.pw_exp.bn.act,"(1, 192, 1, 1)",0.23306103487944657
model.model.blocks.2.1.dw_mid.conv,depthwise,"(3, 3)",192,192,192,False,False,,model.model.blocks.2.1.dw_mid.bn.act,"(1, 192, 1, 1)",0.14079555070319144
model.model.blocks.2.1.pw_proj.conv,pointwise,"(1, 1)",192,96,1,False,False,,,,
model.model.blocks.2.2.pw_exp.conv,pointwise,"(1, 1)",96,192,1,False,False,,model.model.blocks.2.2.pw_exp.bn.act,"(1, 192, 1, 1)",0.22722130427284845
model.model.blocks.2.2.dw_mid.conv,depthwise,"(3, 3)",192,192,192,False,False,,model.model.blocks.2.2.dw_mid.bn.act,"(1, 192, 1, 1)",0.12610376232605672
model.model.blocks.2.2.pw_proj.conv,pointwise,"(1, 1)",192,96,1,False,False,,,,
model.model.blocks.2.3.pw_exp.conv,pointwise,"(1, 1)",96,192,1,False,False,,model.model.blocks.2.3.pw_exp.bn.act,"(1, 192, 1, 1)",0.239722863022162
model.model.blocks.2.3.dw_mid.conv,depthwise,"(3, 3)",192,192,192,False,False,,model.model.blocks.2.3.dw_mid.bn.act,"(1, 192, 1, 1)",0.10405993126417233
model.model.blocks.2.3.pw_proj.conv,pointwise,"(1, 1)",192,96,1,False,False,,,,
model.model.blocks.2.4.pw_exp.conv,pointwise,"(1, 1)",96,192,1,False,False,,model.model.blocks.2.4.pw_exp.bn.act,"(1, 192, 1, 1)",0.1916283985925099
model.model.blocks.2.4.dw_mid.conv,depthwise,"(3, 3)",192,192,192,False,False,,model.model.blocks.2.4.dw_mid.bn.act,"(1, 192, 1, 1)",0.14948998622072526
model.model.blocks.2.4.pw_proj.conv,pointwise,"(1, 1)",192,96,1,False,False,,,,
model.model.blocks.2.5.dw_start.conv,depthwise,"(3, 3)",96,96,96,False,False,,,,
model.model.blocks.2.5.pw_exp.conv,pointwise,"(1, 1)",96,384,1,False,False,,model.model.blocks.2.5.pw_exp.bn.act,"(1, 384, 1, 1)",0.0308960687546503
model.model.blocks.2.5.pw_proj.conv,pointwise,"(1, 1)",384,96,1,False,False,,,,
model.model.blocks.3.0.dw_start.conv,depthwise,"(3, 3)",96,96,96,False,False,,,,
model.model.blocks.3.0.pw_exp.conv,pointwise,"(1, 1)",96,576,1,False,False,,model.model.blocks.3.0.pw_exp.bn.act,"(1, 576, 1, 1)",0.060116285351488684
model.model.blocks.3.0.dw_mid.conv,depthwise,"(3, 3)",576,576,576,False,False,,model.model.blocks.3.0.dw_mid.bn.act,"(1, 576, 1, 1)",0.22124393892756755
model.model.blocks.3.0.pw_proj.conv,pointwise,"(1, 1)",576,128,1,False,False,,,,
model.model.blocks.3.1.dw_start.conv,depthwise,"(5, 5)",128,128,128,False,False,,,,
model.model.blocks.3.1.pw_exp.conv,pointwise,"(1, 1)",128,512,1,False,False,,model.model.blocks.3.1.pw_exp.bn.act,"(1, 512, 1, 1)",0.12136426393677588
model.model.blocks.3.1.dw_mid.conv,depthwise,"(5, 5)",512,512,512,False,False,,model.model.blocks.3.1.dw_mid.bn.act,"(1, 512, 1, 1)",0.12827804980634833
model.model.blocks.3.1.pw_proj.conv,pointwise,"(1, 1)",512,128,1,False,False,,,,
model.model.blocks.3.2.pw_exp.conv,pointwise,"(1, 1)",128,512,1,False,False,,model.model.blocks.3.2.pw_exp.bn.act,"(1, 512, 1, 1)",0.07502597367682425
model.model.blocks.3.2.dw_mid.conv,depthwise,"(5, 5)",512,512,512,False,False,,model.model.blocks.3.2.dw_mid.bn.act,"(1, 512, 1, 1)",0.08465599527164382
model.model.blocks.3.2.pw_proj.conv,pointwise,"(1, 1)",512,128,1,False,False,,,,
model.model.blocks.3.3.pw_exp.conv,pointwise,"(1, 1)",128,384,1,False,False,,model.model.blocks.3.3.pw_exp.bn.act,"(1, 384, 1, 1)",0.05688628112377764
model.model.blocks.3.3.dw_mid.conv,depthwise,"(5, 5)",384,384,384,False,False,,model.model.blocks.3.3.dw_mid.bn.act,"(1, 384, 1, 1)",0.12088367003702523
model.model.blocks.3.3.pw_proj.conv,pointwise,"(1, 1)",384,128,1,False,False,,,,
model.model.blocks.3.4.pw_exp.conv,pointwise,"(1, 1)",128,512,1,False,False,,model.model.blocks.3.4.pw_exp.bn.act,"(1, 512, 1, 1)",0.06583033191914461
model.model.blocks.3.4.dw_mid.conv,depthwise,"(3, 3)",512,512,512,False,False,,model.model.blocks.3.4.dw_mid.bn.act,"(1, 512, 1, 1)",0.11535210122867506
model.model.blocks.3.4.pw_proj.conv,pointwise,"(1, 1)",512,128,1,False,False,,,,
model.model.blocks.3.5.pw_exp.conv,pointwise,"(1, 1)",128,512,1,False,False,,model.model.blocks.3.5.pw_exp.bn.act,"(1, 512, 1, 1)",0.06253609949228715
model.model.blocks.3.5.dw_mid.conv,depthwise,"(3, 3)",512,512,512,False,False,,model.model.blocks.3.5.dw_mid.bn.act,"(1, 512, 1, 1)",0.1016584539089073
model.model.blocks.3.5.pw_proj.conv,pointwise,"(1, 1)",512,128,1,False,False,,,,
model.model.blocks.4.0.conv,pointwise,"(1, 1)",128,960,1,False,False,,model.model.blocks.4.0.bn1.act,"(1, 960, 1, 1)",0.00680700738954436
model.model.conv_head,pointwise,"(1, 1)",960,1280,1,False,False,,model.model.bn1.act,"(1, 32, 1, 1)",0.1394590458902372
